,BAY AREA/DELTA,CENTRAL COAST,COLORADO DESERT,KLAMATH/NORTH COAST,MODOC,MOJAVE,SACRAMENTO VALLEY,SAN JOAQUIN VALLEY,SIERRA,SOUTH COAST
2002,604.0834872886629,501.0838118035871,153.4378310725661,602.6965764059549,359.63144814373777,199.6321080414333,430.8205007846546,385.4123354827015,399.97446629388935,385.79739440319344
2003,594.9049823421841,500.927041913573,167.43293274665092,580.916789893856,376.0041473435501,214.09143609308285,449.7432946389414,376.68550513046665,403.1633569049505,403.87237560660725
2004,587.3370165465591,479.39843000474644,154.63685357845495,603.7382889771166,363.6384613969977,209.58264175861535,414.8361787872984,353.5595004500183,386.2950258247485,376.0748070887039
2005,628.9237052989581,574.7054933965655,227.04682551230036,616.8682715879186,400.2061858882423,272.38627483068893,479.138456758503,434.449580684194,439.1964820757669,465.69582560647234
2006,608.3297295160743,547.6927302477568,184.5365677150954,598.3324216024013,376.7316566149304,246.20845153460394,439.0827530342726,419.0405304710916,422.83781742639076,424.9133913580296
2007,573.7596767950803,452.63958903610074,152.25425537994363,604.3287079379368,354.73336243857227,187.300557992693,391.6244767646947,331.7058275895185,372.4060520381636,355.4646476899243
2008,562.7615941365248,478.06137624798123,168.80576011058372,588.4392792225248,352.5460703247183,201.3687107958069,386.13403158316044,361.9673040510321,374.2028795652157,376.3407585101542
2009,565.7767922804499,472.0668204576743,171.99781293099574,572.4191033936576,360.1217167278736,210.76916344442049,407.2503685699638,361.3243382531078,382.0353835238451,390.8101328349652
2010,607.2898575827928,530.5756493829583,198.2968144884089,577.4095548686764,378.9510822320861,236.08991095441957,450.21376161429697,408.0374864079017,412.3010459216821,426.8751090639616
2011,611.6838941808585,551.2726030391091,200.45057283428176,589.948768443707,387.5594118858509,257.1553586793676,464.29051176857814,438.55666100259543,438.7254271369044,457.8567801941631
2012,596.3764907038151,484.05783079857815,163.59632509402869,618.3458680962044,379.92533574685575,196.18833712973813,421.95262774177866,363.81208720773174,400.977782847939,401.1132311820001
2013,576.313812958399,461.6012549696094,165.68501651729866,606.9395746300656,358.10586501732155,179.4347822384773,404.6137822337878,358.8850576033857,377.2324841268674,377.4227711774952
2014,555.4795737665279,422.1645082444932,169.1683093414224,601.280564351866,352.61411707979215,193.1621947121724,366.0976260656936,308.43028764746975,352.9143057292006,342.84261160523647
2015,599.0344679499634,472.88961590276654,191.18042539719536,605.5601828400031,373.0872837797291,223.20814682469108,408.9609200112924,342.7664497730865,381.8405688484987,368.48752468285994
2016,590.2318761003337,489.07736111642606,188.89997066472705,584.4075561247711,383.7014809156968,230.8397317813009,414.3729869603107,377.0396734852025,403.8758893287138,387.37748623270886
