,BAY AREA/DELTA,CENTRAL COAST,COLORADO DESERT,KLAMATH/NORTH COAST,MODOC,MOJAVE,SACRAMENTO VALLEY,SAN JOAQUIN VALLEY,SIERRA,SOUTH COAST
2001-01-01,23.097759228756665,24.511329315907744,15.614101723009945,17.560069225654924,12.488822411408467,17.761310157892105,18.085189054325422,18.103248303803806,16.35544763023399,21.237718795736136
2001-02-01,27.300154967255068,28.112042339566088,18.62152752819587,20.67826163434581,15.626547822172714,21.5587827753182,21.208446146580243,23.49506260799693,18.408981065989774,26.49073887199712
2001-03-01,63.39684693540476,63.23208958323764,25.393625301989548,47.863560962648926,37.85423167100221,26.735207308533926,48.98837304113423,53.95919451722314,42.69148315959208,52.52251592881788
2001-04-01,78.09395151411928,76.58767225297231,23.75109328289016,60.424537150951586,44.974493321481646,22.542825308505726,60.86261224039086,56.08204877814727,50.81505279859986,59.80337579501578
2001-05-01,72.86012053671345,65.90893348211056,18.741898340575464,66.72615786852681,38.09859813655927,13.537892566013472,35.47594151618131,32.237049462260394,44.28260148182912,52.8678424530025
2001-06-01,67.039402868775,57.02612145453386,18.314246357712587,75.53891188852805,39.6938400360585,12.852094471669243,34.00436347219438,26.483950380990507,36.147564164128475,44.93852403198574
2001-07-01,81.3009968479242,63.99163689042035,18.38073415035057,80.80982212471244,34.8280195599951,16.086374831798025,42.9059112234169,38.84760174312046,41.34552336866849,52.58184022181083
2001-08-01,75.83912717060137,53.81510820273095,17.119031174537323,71.40155679248109,27.681244693934175,12.608453992476141,38.87019271723976,36.66986186085924,31.284265565837327,39.54429465650662
2001-09-01,55.25698494572288,45.351902775784666,13.495668608412887,50.90260640382074,23.73420161524586,8.615406505066893,25.237393591730815,28.19126990902187,25.93791733862399,34.70892604576481
2001-10-01,36.01639510770133,33.36943179554719,10.695111004073759,35.357742367280906,20.038926256396977,7.426081092067875,18.314426517750526,22.063352675562168,21.95512778671385,26.665010851693154
2001-11-01,24.031328928197215,27.05743553102036,10.150288025548495,18.820163927848693,15.102842569428445,11.853666143267086,15.98403723957251,19.330470649517107,19.06877177874789,22.044847228974778
2001-12-01,15.409843959881728,22.459959323337763,11.492090324749803,10.487671021467966,7.456484187853597,14.82568248380088,11.862266706674044,17.162506584139788,13.164290210931878,21.477723965307863
2002-01-01,22.241865845722483,28.469306740859015,10.41802924864115,17.177927841650515,13.106259746829885,13.59344481247725,17.519745148047555,19.611539749146708,17.162921724052968,19.438571536139033
